"Title","Plane measurement results data"
"Date saved","6/24/2026","1:06 PM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.04,"mm"
"2","Diameter",2.02,"mm"
"3","Diameter",1.94,"mm"
"4","Diameter",1.98,"mm"
"5","Diameter",2.02,"mm"
"6","Diameter",2.00,"mm"
"7","Diameter",1.97,"mm"
"8","Diameter",1.92,"mm"
"9","Diameter",1.96,"mm"
"10","Diameter",2.01,"mm"
"11","Diameter",1.90,"mm"
"12","Diameter",1.94,"mm"
"13","Diameter",2.01,"mm"
"14","Diameter",1.95,"mm"
"15","Diameter",1.95,"mm"
"16","Diameter",2.01,"mm"
"17","Diameter",1.99,"mm"
"18","Diameter",2.08,"mm"
"19","Diameter",1.97,"mm"
"20","Diameter",2.05,"mm"
"21","Diameter",1.93,"mm"
"22","Diameter",2.02,"mm"
"23","Diameter",2.05,"mm"
"24","Diameter",1.96,"mm"
"25","Diameter",2.04,"mm"
"26","Diameter",2.03,"mm"
"27","Diameter",1.86,"mm"
"28","Diameter",2.00,"mm"
"29","Diameter",1.93,"mm"
"30","Diameter",2.04,"mm"
"31","Diameter",1.98,"mm"
"32","Diameter",2.04,"mm"
"33","Diameter",2.01,"mm"
"34","Diameter",1.99,"mm"
"35","Diameter",1.99,"mm"
"36","Diameter",1.86,"mm"
"37","Diameter",2.05,"mm"
"38","Diameter",1.94,"mm"
"39","Diameter",1.93,"mm"
"40","Diameter",1.95,"mm"
"41","Diameter",1.95,"mm"
"42","Diameter",1.99,"mm"
"43","Diameter",1.90,"mm"
"44","Diameter",2.01,"mm"
"45","Diameter",2.00,"mm"
"46","Diameter",1.93,"mm"
"47","Diameter",1.95,"mm"
"48","Diameter",1.99,"mm"
"49","Diameter",1.96,"mm"
"50","Diameter",2.00,"mm"
"51","Diameter",1.85,"mm"
"52","Diameter",1.99,"mm"
"53","Diameter",1.91,"mm"
"54","Diameter",1.95,"mm"
"55","Diameter",1.87,"mm"
"56","Diameter",1.94,"mm"
"57","Diameter",1.95,"mm"
"58","Diameter",1.96,"mm"
"59","Diameter",1.94,"mm"
"60","Diameter",1.96,"mm"
"61","Diameter",1.91,"mm"
"62","Diameter",1.98,"mm"
"63","Diameter",1.95,"mm"
"64","Diameter",1.95,"mm"
"65","Diameter",1.92,"mm"
"66","Diameter",1.95,"mm"
"67","Diameter",1.96,"mm"
"68","Diameter",2.03,"mm"
"69","Diameter",1.98,"mm"
"70","Diameter",1.96,"mm"
"71","Diameter",1.88,"mm"
"72","Diameter",1.99,"mm"
"73","Diameter",1.94,"mm"
"74","Diameter",1.93,"mm"
"75","Diameter",1.94,"mm"
"76","Diameter",1.95,"mm"
"77","Diameter",1.80,"mm"
"78","Diameter",1.94,"mm"
"79","Diameter",1.91,"mm"
"80","Diameter",1.90,"mm"
"81","Diameter",2.00,"mm"
"82","Diameter",1.99,"mm"
"83","Diameter",1.96,"mm"
"84","Diameter",1.94,"mm"
"85","Diameter",1.95,"mm"
"86","Diameter",1.88,"mm"
"87","Diameter",1.75,"mm"
"88","Diameter",1.98,"mm"
"89","Diameter",1.95,"mm"
"90","Diameter",1.83,"mm"
"91","Diameter",1.97,"mm"
"92","Diameter",1.95,"mm"
"93","Diameter",1.88,"mm"
"94","Diameter",1.99,"mm"
"95","Diameter",1.99,"mm"
"96","Diameter",1.89,"mm"
"97","Diameter",1.96,"mm"
"98","Diameter",1.90,"mm"
"99","Diameter",1.94,"mm"
"100","Diameter",1.99,"mm"
"101","Diameter",1.92,"mm"
"102","Diameter",1.98,"mm"
"103","Diameter",1.99,"mm"
"104","Diameter",1.86,"mm"
"105","Diameter",1.98,"mm"
"106","Diameter",1.87,"mm"
"107","Diameter",1.96,"mm"
"108","Diameter",1.91,"mm"
"109","Diameter",1.96,"mm"
"110","Diameter",1.96,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
