"Title","Plane measurement results data"
"Date saved","6/24/2026","12:15 PM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.05,"mm"
"2","Diameter",1.94,"mm"
"3","Diameter",2.11,"mm"
"4","Diameter",2.09,"mm"
"5","Diameter",2.00,"mm"
"6","Diameter",1.98,"mm"
"7","Diameter",2.03,"mm"
"8","Diameter",1.84,"mm"
"9","Diameter",1.97,"mm"
"10","Diameter",1.97,"mm"
"11","Diameter",2.02,"mm"
"12","Diameter",1.91,"mm"
"13","Diameter",1.99,"mm"
"14","Diameter",1.90,"mm"
"15","Diameter",1.91,"mm"
"16","Diameter",1.97,"mm"
"17","Diameter",2.03,"mm"
"18","Diameter",1.96,"mm"
"19","Diameter",2.07,"mm"
"20","Diameter",1.97,"mm"
"21","Diameter",2.04,"mm"
"22","Diameter",1.82,"mm"
"23","Diameter",1.91,"mm"
"24","Diameter",2.08,"mm"
"25","Diameter",1.98,"mm"
"26","Diameter",1.95,"mm"
"27","Diameter",2.02,"mm"
"28","Diameter",1.99,"mm"
"29","Diameter",2.02,"mm"
"30","Diameter",2.10,"mm"
"31","Diameter",2.02,"mm"
"32","Diameter",2.04,"mm"
"33","Diameter",2.01,"mm"
"34","Diameter",2.08,"mm"
"35","Diameter",1.94,"mm"
"36","Diameter",1.95,"mm"
"37","Diameter",2.07,"mm"
"38","Diameter",2.07,"mm"
"39","Diameter",1.98,"mm"
"40","Diameter",1.93,"mm"
"41","Diameter",2.04,"mm"
"42","Diameter",1.87,"mm"
"43","Diameter",2.02,"mm"
"44","Diameter",2.00,"mm"
"45","Diameter",1.97,"mm"
"46","Diameter",1.87,"mm"
"47","Diameter",1.96,"mm"
"48","Diameter",1.94,"mm"
"49","Diameter",1.96,"mm"
"50","Diameter",1.97,"mm"
"51","Diameter",1.90,"mm"
"52","Diameter",2.02,"mm"
"53","Diameter",1.82,"mm"
"54","Diameter",1.94,"mm"
"55","Diameter",1.98,"mm"
"56","Diameter",2.06,"mm"
"57","Diameter",1.90,"mm"
"58","Diameter",2.00,"mm"
"59","Diameter",1.89,"mm"
"60","Diameter",1.86,"mm"
"61","Diameter",1.95,"mm"
"62","Diameter",2.00,"mm"
"63","Diameter",2.02,"mm"
"64","Diameter",1.84,"mm"
"65","Diameter",1.99,"mm"
"66","Diameter",1.93,"mm"
"67","Diameter",2.05,"mm"
"68","Diameter",1.96,"mm"
"69","Diameter",2.00,"mm"
"70","Diameter",2.00,"mm"
"71","Diameter",2.02,"mm"
"72","Diameter",1.73,"mm"
"73","Diameter",1.99,"mm"
"74","Diameter",2.09,"mm"
"75","Diameter",1.79,"mm"
"76","Diameter",1.75,"mm"
"77","Diameter",1.76,"mm"
"78","Diameter",1.97,"mm"
"79","Diameter",1.92,"mm"
"80","Diameter",1.85,"mm"
"81","Diameter",1.93,"mm"
"82","Diameter",1.93,"mm"
"83","Diameter",2.07,"mm"
"84","Diameter",2.01,"mm"
"85","Diameter",1.93,"mm"
"86","Diameter",1.97,"mm"
"87","Diameter",2.03,"mm"
"88","Diameter",1.93,"mm"
"89","Diameter",2.04,"mm"
"90","Diameter",1.93,"mm"
"91","Diameter",1.88,"mm"
"92","Diameter",2.04,"mm"
"93","Diameter",2.01,"mm"
"94","Diameter",1.98,"mm"
"95","Diameter",1.90,"mm"
"96","Diameter",2.06,"mm"
"97","Diameter",1.86,"mm"
"98","Diameter",2.10,"mm"
"99","Diameter",2.00,"mm"
"100","Diameter",2.03,"mm"
"101","Diameter",1.89,"mm"
"102","Diameter",1.90,"mm"
"103","Diameter",2.05,"mm"
"104","Diameter",1.91,"mm"
"105","Diameter",1.94,"mm"
"106","Diameter",1.97,"mm"
"107","Diameter",2.03,"mm"
"108","Diameter",2.00,"mm"
"109","Diameter",2.01,"mm"
"110","Diameter",1.91,"mm"
"111","Diameter",2.00,"mm"
"112","Diameter",1.95,"mm"
"113","Diameter",1.82,"mm"
"114","Diameter",1.92,"mm"
"115","Diameter",1.89,"mm"
"116","Diameter",1.98,"mm"
"117","Diameter",2.06,"mm"
"118","Diameter",1.95,"mm"
"119","Diameter",1.92,"mm"
"120","Diameter",1.99,"mm"
"121","Diameter",2.01,"mm"
"122","Diameter",2.05,"mm"
"123","Diameter",1.98,"mm"
"124","Diameter",1.89,"mm"
"125","Diameter",2.10,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",1012.93,"mm²"
