"Title","Plane measurement results data"
"Date saved","6/18/2026","1:20 PM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.08,"mm"
"2","Diameter",2.08,"mm"
"3","Diameter",1.98,"mm"
"4","Diameter",2.00,"mm"
"5","Diameter",2.09,"mm"
"6","Diameter",2.06,"mm"
"7","Diameter",2.03,"mm"
"8","Diameter",1.98,"mm"
"9","Diameter",2.04,"mm"
"10","Diameter",2.07,"mm"
"11","Diameter",1.71,"mm"
"12","Diameter",2.01,"mm"
"13","Diameter",1.92,"mm"
"14","Diameter",2.15,"mm"
"15","Diameter",2.07,"mm"
"16","Diameter",2.07,"mm"
"17","Diameter",1.97,"mm"
"18","Diameter",2.08,"mm"
"19","Diameter",2.03,"mm"
"20","Diameter",2.23,"mm"
"21","Diameter",2.07,"mm"
"22","Diameter",2.08,"mm"
"23","Diameter",1.90,"mm"
"24","Diameter",1.67,"mm"
"25","Diameter",2.09,"mm"
"26","Diameter",2.06,"mm"
"27","Diameter",1.89,"mm"
"28","Diameter",2.10,"mm"
"29","Diameter",1.96,"mm"
"30","Diameter",1.79,"mm"
"31","Diameter",2.08,"mm"
"32","Diameter",2.00,"mm"
"33","Diameter",2.00,"mm"
"34","Diameter",1.98,"mm"
"35","Diameter",2.03,"mm"
"36","Diameter",1.97,"mm"
"37","Diameter",2.02,"mm"
"38","Diameter",1.98,"mm"
"39","Diameter",1.96,"mm"
"40","Diameter",1.98,"mm"
"41","Diameter",2.02,"mm"
"42","Diameter",2.04,"mm"
"43","Diameter",1.96,"mm"
"44","Diameter",2.00,"mm"
"45","Diameter",2.03,"mm"
"46","Diameter",1.58,"mm"
"47","Diameter",2.00,"mm"
"48","Diameter",2.03,"mm"
"49","Diameter",2.03,"mm"
"50","Diameter",1.86,"mm"
"51","Diameter",2.05,"mm"
"52","Diameter",2.03,"mm"
"53","Diameter",1.67,"mm"
"54","Diameter",2.00,"mm"
"55","Diameter",1.99,"mm"
"56","Diameter",2.04,"mm"
"57","Diameter",2.02,"mm"
"58","Diameter",2.02,"mm"
"59","Diameter",2.02,"mm"
"60","Diameter",2.10,"mm"
"61","Diameter",2.02,"mm"
"62","Diameter",1.98,"mm"
"63","Diameter",1.98,"mm"
"64","Diameter",2.02,"mm"
"65","Diameter",2.00,"mm"
"66","Diameter",2.03,"mm"
"67","Diameter",2.04,"mm"
"68","Diameter",2.02,"mm"
"69","Diameter",1.97,"mm"
"70","Diameter",1.97,"mm"
"71","Diameter",1.86,"mm"
"72","Diameter",1.99,"mm"
"73","Diameter",1.99,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
