"Title","Plane measurement results data"
"Date saved","6/22/2026","11:28 AM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.07,"mm"
"2","Diameter",2.01,"mm"
"3","Diameter",2.06,"mm"
"4","Diameter",2.06,"mm"
"5","Diameter",2.05,"mm"
"6","Diameter",2.07,"mm"
"7","Diameter",2.10,"mm"
"8","Diameter",2.08,"mm"
"9","Diameter",2.09,"mm"
"10","Diameter",2.06,"mm"
"11","Diameter",2.02,"mm"
"12","Diameter",2.07,"mm"
"13","Diameter",2.13,"mm"
"14","Diameter",2.09,"mm"
"15","Diameter",2.09,"mm"
"16","Diameter",2.14,"mm"
"17","Diameter",2.09,"mm"
"18","Diameter",2.10,"mm"
"19","Diameter",2.15,"mm"
"20","Diameter",2.07,"mm"
"21","Diameter",2.04,"mm"
"22","Diameter",2.05,"mm"
"23","Diameter",2.05,"mm"
"24","Diameter",2.03,"mm"
"25","Diameter",2.00,"mm"
"26","Diameter",2.02,"mm"
"27","Diameter",1.96,"mm"
"28","Diameter",2.00,"mm"
"29","Diameter",2.01,"mm"
"30","Diameter",2.10,"mm"
"31","Diameter",2.02,"mm"
"32","Diameter",2.06,"mm"
"33","Diameter",2.04,"mm"
"34","Diameter",2.02,"mm"
"35","Diameter",1.98,"mm"
"36","Diameter",2.04,"mm"
"37","Diameter",2.03,"mm"
"38","Diameter",2.07,"mm"
"39","Diameter",2.04,"mm"
"40","Diameter",2.02,"mm"
"41","Diameter",2.02,"mm"
"42","Diameter",2.07,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",619.05,"mm²"
