"Title","Plane measurement results data"
"Date saved","6/11/2026","9:35 AM"
"Comment",
"[ Main ]"
"No.","Measure","Result","Unit"
"1","Diameter",2.13,"mm"
"2","Diameter",2.09,"mm"
"3","Diameter",1.93,"mm"
"4","Diameter",2.15,"mm"
"5","Diameter",1.83,"mm"
"6","Diameter",2.17,"mm"
"7","Diameter",2.06,"mm"
"8","Diameter",2.08,"mm"
"9","Diameter",2.23,"mm"
"10","Diameter",2.14,"mm"
"11","Diameter",2.29,"mm"
"12","Diameter",2.05,"mm"
"13","Diameter",2.05,"mm"
"14","Diameter",2.06,"mm"
"15","Diameter",2.18,"mm"
"16","Diameter",2.19,"mm"
"17","Diameter",2.11,"mm"
"18","Diameter",2.13,"mm"
"19","Diameter",2.05,"mm"
"20","Diameter",2.05,"mm"
"21","Diameter",2.18,"mm"
"22","Diameter",1.94,"mm"
"23","Diameter",1.94,"mm"
"24","Diameter",2.10,"mm"
"25","Diameter",2.29,"mm"
"26","Diameter",2.03,"mm"
"27","Diameter",2.23,"mm"
"28","Diameter",2.14,"mm"
"29","Diameter",2.14,"mm"
"30","Diameter",2.18,"mm"
"31","Diameter",2.19,"mm"
"32","Diameter",2.20,"mm"
"33","Diameter",2.02,"mm"
"34","Diameter",2.08,"mm"
"35","Diameter",2.15,"mm"
"36","Diameter",2.17,"mm"
"37","Diameter",2.11,"mm"
"38","Diameter",2.04,"mm"
"39","Diameter",2.11,"mm"
"40","Diameter",2.04,"mm"
"41","Diameter",2.02,"mm"
"42","Diameter",2.06,"mm"
"43","Diameter",1.98,"mm"
"44","Diameter",1.89,"mm"
"45","Diameter",2.09,"mm"
"46","Diameter",2.12,"mm"
"47","Diameter",2.05,"mm"
"48","Diameter",2.14,"mm"
"49","Diameter",2.01,"mm"
"50","Diameter",1.89,"mm"
"51","Diameter",2.15,"mm"
"52","Diameter",2.01,"mm"
"53","Diameter",2.05,"mm"
"54","Diameter",1.98,"mm"
"55","Diameter",2.13,"mm"
"56","Diameter",2.23,"mm"
"57","Diameter",1.95,"mm"
"58","Diameter",2.08,"mm"
"59","Diameter",2.17,"mm"
"60","Diameter",2.00,"mm"
"61","Diameter",1.93,"mm"
"62","Diameter",1.94,"mm"
"63","Diameter",2.00,"mm"
"64","Diameter",1.91,"mm"
"65","Diameter",1.97,"mm"
"66","Diameter",2.03,"mm"
"67","Diameter",2.12,"mm"
"68","Diameter",2.27,"mm"
"69","Diameter",2.04,"mm"
"70","Diameter",1.91,"mm"
"71","Diameter",2.12,"mm"
"72","Diameter",2.00,"mm"
"73","Diameter",2.10,"mm"
"74","Diameter",2.06,"mm"
"75","Diameter",1.95,"mm"
"76","Diameter",2.20,"mm"
"77","Diameter",1.98,"mm"
"78","Diameter",1.94,"mm"
"79","Diameter",1.90,"mm"
"80","Diameter",2.02,"mm"
"81","Diameter",2.06,"mm"
"82","Diameter",2.00,"mm"
"83","Diameter",2.20,"mm"
"84","Diameter",2.09,"mm"
"85","Diameter",2.05,"mm"
"86","Diameter",2.02,"mm"
"87","Diameter",2.01,"mm"
"88","Diameter",1.98,"mm"
"89","Diameter",2.04,"mm"
"90","Diameter",2.09,"mm"
"91","Diameter",1.90,"mm"
"92","Diameter",2.08,"mm"
"93","Diameter",2.04,"mm"
"94","Diameter",2.16,"mm"
"95","Diameter",2.04,"mm"
"96","Diameter",1.93,"mm"
"97","Diameter",2.14,"mm"
"98","Diameter",2.20,"mm"
"99","Diameter",1.95,"mm"
"100","Diameter",1.88,"mm"
"101","Diameter",2.07,"mm"
"102","Diameter",2.07,"mm"
"103","Diameter",2.00,"mm"
"104","Diameter",1.92,"mm"
"105","Diameter",2.06,"mm"
"106","Diameter",1.95,"mm"
"107","Diameter",2.04,"mm"
"108","Diameter",2.10,"mm"
"109","Diameter",1.94,"mm"
"110","Diameter",2.04,"mm"
"111","Diameter",2.04,"mm"
"112","Diameter",2.17,"mm"
"113","Diameter",2.31,"mm"
"114","Diameter",2.19,"mm"
"115","Diameter",2.25,"mm"
"116","Diameter",2.06,"mm"
"117","Diameter",2.05,"mm"
"118","Diameter",2.07,"mm"
"119","Diameter",2.03,"mm"
"120","Diameter",1.99,"mm"
"121","Diameter",2.04,"mm"
"122","Diameter",2.18,"mm"
"123","Diameter",2.07,"mm"
"124","Diameter",2.08,"mm"
"125","Diameter",2.18,"mm"
"126","Diameter",2.31,"mm"
"127","Diameter",2.00,"mm"
"128","Diameter",2.03,"mm"
"129","Diameter",2.16,"mm"
"130","Diameter",2.15,"mm"
"131","Diameter",2.20,"mm"
"132","Diameter",2.25,"mm"
"133","Diameter",2.03,"mm"
"134","Diameter",2.15,"mm"
"135","Diameter",2.15,"mm"
"136","Diameter",2.23,"mm"
"137","Diameter",2.15,"mm"
"138","Diameter",2.19,"mm"
"139","Diameter",2.18,"mm"
"140","Diameter",2.07,"mm"
"141","Diameter",2.11,"mm"
"142","Diameter",2.06,"mm"
"143","Diameter",2.00,"mm"
"144","Diameter",2.09,"mm"
"145","Diameter",2.24,"mm"
"146","Diameter",2.09,"mm"
"147","Diameter",2.20,"mm"
"148","Diameter",2.06,"mm"
"149","Diameter",2.11,"mm"
"150","Diameter",2.22,"mm"
"151","Diameter",2.21,"mm"
"152","Diameter",2.00,"mm"
,"Count",0,"pcs"
"[ XY Measure ]"
,"X",,
,"Y",,
,"D",,
"[ Area ]"
"No.","Area","Unit","Perimeter","Unit"
"Total area",0.00,"mm²"
"Count",0,"pcs"
"Area ratio",0.00,"%"
"Total region area",1646.80,"mm²"
